No.,Time,Source,Destination,Protocol,Length,Time since previous frame in this TCP stream,Source Port,Destination Port,Sequence Number,Acknowledgment Number,Time to Live,Arrival Time,S7 Communication,Data length,Function,Length,Byte Address,Info,label
36,2.461797,192.168.1.241,192.168.1.1,COTP,61,1.010633,62991,102,15,173,128,"Jan 22, 2024 16:20:44.378153000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
37,2.462268,192.168.1.241,192.168.1.1,COTP,146,0.000471,62991,102,22,173,128,"Jan 22, 2024 16:20:44.378624000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
38,2.500952,192.168.0.2,192.168.0.1,COTP,145,0.313045,56667,102,841,2529,128,"Jan 22, 2024 16:20:44.417308000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
39,2.501428,192.168.0.2,192.168.0.1,COTP,61,0.000476,56667,102,932,2583,128,"Jan 22, 2024 16:20:44.417784000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
40,2.501633,192.168.0.2,192.168.0.1,COTP,61,0.000205,56667,102,939,2845,128,"Jan 22, 2024 16:20:44.417989000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
41,2.806973,192.168.0.2,192.168.0.1,COTP,61,0.908984,56665,102,29,440,128,"Jan 22, 2024 16:20:44.723329000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
42,2.815217,192.168.0.2,192.168.0.1,COTP,145,0.313584,56667,102,946,2845,128,"Jan 22, 2024 16:20:44.731573000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
43,2.815718,192.168.0.2,192.168.0.1,COTP,61,0.000501,56667,102,1037,2899,128,"Jan 22, 2024 16:20:44.732074000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
44,2.815998,192.168.0.2,192.168.0.1,TCP,54,0.00028,56667,102,1044,3161,128,"Jan 22, 2024 16:20:44.732354000 China Standard Time",,,,,,56667  >  102 [ACK] Seq=1044 Ack=3161 Win=64240 Len=0,Normal
45,2.816069,192.168.0.2,192.168.0.1,COTP,61,0.000071,56667,102,1044,3161,128,"Jan 22, 2024 16:20:44.732425000 China Standard Time",,,,,,"DT TPDU (0) [COTP fragment, 0 bytes]",Normal
46,2.894366,192.168.1.241,192.168.1.1,COTP,163,0.432098,62991,102,114,173,128,"Jan 22, 2024 16:20:44.810722000 China Standard Time",,,,,,DT TPDU (0) EOT,Normal
